Current 1,P_L 1,Current 2,P_L 2,Current 3,P_L 3,Current Ideal,P_L Ideal,Time (hours)
8.858,4.92E+02,5.249,1.09E+03,1.969,1.64E+03,9.47E-05,1.97E+03,1
4.429,2.46E+02,2.625,5.47E+02,9.84E-01,8.20E+02,8.51E-05,9.84E+02,2
4.429,2.46E+02,2.625,5.47E+02,9.84E-01,8.20E+02,-9.61E-11,9.84E+02,3
4.429,2.46E+02,2.625,5.47E+02,9.84E-01,8.20E+02,-9.61E-11,9.84E+02,4
4.429,2.46E+02,2.625,5.47E+02,9.84E-01,8.20E+02,-9.61E-11,9.84E+02,5
7.382,4.10E+02,4.374,9.11E+02,1.64E+00,1.67E+03,5.18E-06,1.64E+03,6
1.48E+01,8.20E+02,8.748,1.82E+03,3.28E+00,2.73E+03,-9.13E-05,3.28E+03,7
2.66E+01,1.48E+03,1.58E+01,3.28E+03,5.91E+00,4.92E+03,-1.58E-04,5.90E+03,8
2.95E+01,1.64E+03,1.75E+01,3.64E+03,6.56E+00,5.47E+03,5.18E-06,6.56E+03,9
1.48E+01,8.20E+02,8.749,1.82E+03,3.28E+00,2.73E+03,3.46E-04,3.28E+03,10
8.86E+00,4.92E+02,5.249,1.09E+03,1.97E+00,1.64E+03,1.39E-04,1.97E+03,11
2.21E+01,9.84E+02,1.49E+01,2.19E+03,8.34E+00,3.28E+03,4.41E+00,3.94E+03,12
2.52E+01,6.56E+02,2.04E+01,1.46E+03,1.60E+01,2.19E+03,1.34E+01,2.62E+03,13
2.77E+01,4.10E+02,2.47E+01,9.11E+02,2.20E+01,1.37E+03,2.03E+01,1.64E+03,14
2.87E+01,2.46E+02,2.69E+01,5.47E+02,2.53E+01,8.20E+02,2.43E+01,9.84E+02,15
2.61E+01,3.28E+02,2.37E+01,7.29E+02,2.15E+01,1.09E+03,2.02E+01,1.31E+03,16
1.88E+01,8.20E+02,1.28E+01,1.82E+03,7.31E+00,2.73E+03,4.03E+00,3.28E+03,17
7.31E+00,1.48E+03,-3.52E+00,3.28E+03,-1.34E+01,4.92E+03,-1.93E+01,5.90E+03,18
3.40E+01,1.89E+03,2.01E+01,4.19E+03,7.54E+00,6.29E+03,-2.70E-04,7.54E+03,19
3.25E+01,1.80E+03,1.93E+01,4.01E+03,7.22E+00,6.01E+03,-6.21E-05,7.22E+03,20
3.25E+01,1.80E+03,1.93E+01,4.01E+03,7.22E+00,6.01E+03,-7.05E-10,7.22E+03,21
3.40E+01,1.89E+03,2.01E+01,4.19E+03,7.55E+00,6.29E+03,-2.72E-05,7.54E+03,22
2.66E+01,1.48E+03,1.58E+01,3.28E+03,5.91E+00,4.92E+03,1.36E-04,5.90E+03,23
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
